basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
04/04115265,0.22891223430633545,0.3193730413913727,0.3546445667743683,0.37051305174827576,0.3587114214897156,0.33970150351524353,0.3269049823284149,0.3283967971801758
04/04122200,0.03636470437049866,0.07947324216365814,0.10789814591407776,0.12690915167331696,0.1418398916721344,0.14962579309940338,0.1630525439977646,0.11502153426408768
04/04122500,0.021799620240926743,0.061088502407073975,0.09218567609786987,0.11189377307891846,0.1250593513250351,0.1320139616727829,0.14263823628425598,0.09809142351150513
04/04127918,0.10291946679353714,0.16654784977436066,0.1978440284729004,0.21430917084217072,0.2300504595041275,0.23828333616256714,0.24527305364608765,0.1993175595998764
04/04127997,0.1321822553873062,0.18031097948551178,0.20508547127246857,0.22420285642147064,0.23479774594306946,0.2409503161907196,0.2507147490978241,0.20976009964942932
04/04161580,0.08852322399616241,0.16694851219654083,0.22199636697769165,0.26003870368003845,0.28523391485214233,0.308034211397171,0.3185795247554779,0.235632985830307
04/04185000,0.045918770134449005,0.11304380744695663,0.1516920030117035,0.16941340267658234,0.17322053015232086,0.17439116537570953,0.18229632079601288,0.1442830115556717
04/04196800,0.11277978122234344,0.17621910572052002,0.19456112384796143,0.21358047425746918,0.22653427720069885,0.23945295810699463,0.2585301101207733,0.20309419929981232
04/04197100,0.15442083775997162,0.2747918665409088,0.2824593484401703,0.2796352505683899,0.29384395480155945,0.29660844802856445,0.28094130754470825,0.26610004901885986
04/04197170,0.19296394288539886,0.2328251302242279,0.23447665572166443,0.23800553381443024,0.2328549027442932,0.22866933047771454,0.24838225543498993,0.22973981499671936
04/04213000,0.19808992743492126,0.270050972700119,0.2895355820655823,0.28803977370262146,0.2907795310020447,0.2901003658771515,0.3017880618572235,0.27548450231552124
04/04213075,0.4900844097137451,0.5146098136901855,0.518373966217041,0.500230610370636,0.4884133040904999,0.49546751379966736,0.5034220814704895,0.5015143156051636
04/04216418,0.23879662156105042,0.2644122838973999,0.27250349521636963,0.2669330835342407,0.2534027695655823,0.2492777556180954,0.2753674387931824,0.26009878516197205
04/04221000,0.19319835305213928,0.2429998517036438,0.2596460282802582,0.25612810254096985,0.2625989615917206,0.27062344551086426,0.2900567948818207,0.2536059319972992
04/04224775,0.2522822320461273,0.30044060945510864,0.30712807178497314,0.29872170090675354,0.2937905490398407,0.29598549008369446,0.3396959900856018,0.29829004406929016
04/04233000,0.29223528504371643,0.3297730088233948,0.3341807723045349,0.33830323815345764,0.3267141878604889,0.3216628432273865,0.4075378179550171,0.335769385099411
04/04256000,0.09944108128547668,0.14745037257671356,0.1717974990606308,0.18526428937911987,0.1923653483390808,0.2007637768983841,0.20181870460510254,0.17126430571079254
05/03010655,0.12415578961372375,0.21712113916873932,0.24598662555217743,0.25011909008026123,0.2590102553367615,0.27386775612831116,0.2830212712287903,0.23617921769618988
05/03011800,0.15118981897830963,0.21826834976673126,0.2604322135448456,0.2734343707561493,0.28412485122680664,0.2989285886287689,0.3069951832294464,0.2561928331851959
